Model,Call#,Move,Legal,UCI,Eval,Normalized,ERRORS
google/gemini-2.5-flash-lite,74,Qh5,True,d5h5,-642 cp,0.321,
google/gemini-2.5-flash-lite,75,Qh5,True,d5h5,-644 cp,0.322,
google/gemini-2.5-flash-lite,76,Qe4,False,,,0.0,
google/gemini-2.5-flash-lite,77,Qh5,True,d5h5,-639 cp,0.32,
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-660 cp,0.33,
google/gemini-2.5-flash-lite,80,Qh5,True,d5h5,-655 cp,0.328,
google/gemini-2.5-flash-lite,81,g4,False,,,0.0,
google/gemini-2.5-flash-lite,82,Qf7,True,d5f7,28 cp,0.514,
google/gemini-2.5-flash-lite,83,Qh5,True,d5h5,-637 cp,0.319,
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-658 cp,0.329,
google/gemini-2.5-flash-lite,85,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,86,Qf5,True,d5f5,375 cp,0.688,
google/gemini-2.5-flash-lite,87,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,88,Qh5,True,d5h5,-637 cp,0.319,
google/gemini-2.5-flash-lite,89,Qf7,True,d5f7,9 cp,0.504,
google/gemini-2.5-flash-lite,90,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,91,Qxe4,False,,,0.0,
google/gemini-2.5-flash-lite,92,g6,False,,,0.0,
google/gemini-2.5-flash-lite,93,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,94,Qd3,True,d5d3,26 cp,0.513,
google/gemini-2.5-flash-lite,95,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,96,Qh5,True,d5h5,-653 cp,0.327,
google/gemini-2.5-flash-lite,97,Qh5,True,d5h5,-653 cp,0.327,
google/gemini-2.5-flash-lite,98,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,99,Qh5,True,d5h5,-633 cp,0.317,
google/gemini-2.5-flash-lite,100,Qh5,True,d5h5,-636 cp,0.318,
,,,,,, 0.295,
