# Chess Move Prediction Results with Legality & Stockfish Eval
 Model , Call # , Move , Legal , UCI , Eval 
 qwen/qwen3-coder , 9 , Qe6 , True , d5e6 , -655 cp 
 qwen/qwen3-coder , 10 , Qe6 , True , d5e6 , -660 cp 
 meituan/longcat-flash-chat , 1 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 2 , Qf5 , True , d5f5 , 374 cp 
 meituan/longcat-flash-chat , 3 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 4 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 5 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 6 , Qe3 , False , None , None 
 meituan/longcat-flash-chat , 7 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 8 , Qd8 , False , None , None 
 meituan/longcat-flash-chat , 9 , Qh5 , True , d5h5 , -637 cp 
 meituan/longcat-flash-chat , 10 , Qd5 , False , None , None 
 mistralai/mistral-medium-3.1 , 1 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 2 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 3 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 4 , Qh5 , True , d5h5 , -617 cp 
 mistralai/mistral-medium-3.1 , 5 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 6 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 7 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 8 ,  , False , None , None 
 mistralai/mistral-medium-3.1 , 9 , Qg8 , True , d5g8 , Mate in 1 
 mistralai/mistral-medium-3.1 , 10 ,  , False , None , None 
 baidu/ernie-4.5-vl-28b-a3b , 1 , Qd4 , True , d5d4 , 412 cp 
 baidu/ernie-4.5-vl-28b-a3b , 2 , Qd4 , True , d5d4 , 448 cp 
 baidu/ernie-4.5-vl-28b-a3b , 3 , Qd4 , True , d5d4 , 454 cp 
 baidu/ernie-4.5-vl-28b-a3b , 4 , Qd4 , True , d5d4 , 434 cp 
 baidu/ernie-4.5-vl-28b-a3b , 5 , Qd4 , True , d5d4 , 421 cp 
 baidu/ernie-4.5-vl-28b-a3b , 6 , Qd4 , True , d5d4 , 445 cp 
 baidu/ernie-4.5-vl-28b-a3b , 7 , Qd4 , True , d5d4 , 460 cp 
 baidu/ernie-4.5-vl-28b-a3b , 8 , Qd5 , False , None , None 
 baidu/ernie-4.5-vl-28b-a3b , 9 , Qd4 , True , d5d4 , 458 cp 
 baidu/ernie-4.5-vl-28b-a3b , 10 , Qd4 , True , d5d4 , 458 cp 
