# Chess Move Prediction Results with Legality & Stockfish Eval
 Model , Call # , Move , Legal , UCI , Eval 
 openai/gpt-3.5-turbo-instruct , 8 , Λύση: Ne5 , False , None , None 
 openai/gpt-3.5-turbo-instruct , 9 , SE , False , None , None 
 openai/gpt-3.5-turbo-instruct , 10 , SE , False , None , None 
 deepseek/deepseek-chat-v3.1 , 1 , Qh5 , True , d5h5 , -642 cp 
 deepseek/deepseek-chat-v3.1 , 2 , Qf7 , True , d5f7 , 2 cp 
 deepseek/deepseek-chat-v3.1 , 3 , Qh5 , True , d5h5 , -630 cp 
 deepseek/deepseek-chat-v3.1 , 4 , Qxg4 , False , None , None 
 deepseek/deepseek-chat-v3.1 , 5 , Qd8 , False , None , None 
 deepseek/deepseek-chat-v3.1 , 6 , Qxg8 , True , d5g8 , Mate in 1 
 deepseek/deepseek-chat-v3.1 , 7 , Qf7 , True , d5f7 , 10 cp 
 deepseek/deepseek-chat-v3.1 , 8 , Qg8 , True , d5g8 , Mate in 1 
 deepseek/deepseek-chat-v3.1 , 9 , Qxg4 , False , None , None 
 deepseek/deepseek-chat-v3.1 , 10 , Qxg8 , True , d5g8 , Mate in 1 
 meta-llama/llama-3.3-8b-instruct:free , 1 , SE , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 2 , Nf3 , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 3 , Qd4 , True , d5d4 , 377 cp 
 meta-llama/llama-3.3-8b-instruct:free , 4 , Nf3 , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 5 , Nf3 , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 6 , Nf3 , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 7 , Qd2 , True , d5d2 , 93 cp 
 meta-llama/llama-3.3-8b-instruct:free , 8 , Nf3 , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 9 , Nf3 , False , None , None 
 meta-llama/llama-3.3-8b-instruct:free , 10 , Nf3 , False , None , None 
 qwen/qwen3-coder , 1 , Qe3 , False , None , None 
 qwen/qwen3-coder , 2 , Qe6 , True , d5e6 , -665 cp 
 qwen/qwen3-coder , 3 , Qe6 , True , d5e6 , -657 cp 
 qwen/qwen3-coder , 4 , Qe6 , True , d5e6 , -652 cp 
 qwen/qwen3-coder , 5 , Qe3 , False , None , None 
 qwen/qwen3-coder , 6 , Qe6 , True , d5e6 , -654 cp 
 qwen/qwen3-coder , 7 , Qe6 , True , d5e6 , -653 cp 
 qwen/qwen3-coder , 8 , Qe6 , True , d5e6 , -649 cp 
 qwen/qwen3-coder , 9 , Qe3 , False , None , None 
 qwen/qwen3-coder , 10 , Qe6 , True , d5e6 , -652 cp 
 meituan/longcat-flash-chat , 1 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 2 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 3 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 4 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 5 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 6 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 7 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 8 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 9 , Qd5 , False , None , None 
 meituan/longcat-flash-chat , 10 , Qd5 , False , None , None 
 mistralai/mistral-medium-3.1 , 1 , Qh5 , True , d5h5 , -624 cp 
 mistralai/mistral-medium-3.1 , 2 , Qh5 , True , d5h5 , -619 cp 
 mistralai/mistral-medium-3.1 , 3 , Qh5 , True , d5h5 , -632 cp 
 mistralai/mistral-medium-3.1 , 4 , Qh5 , True , d5h5 , -622 cp 
 mistralai/mistral-medium-3.1 , 5 , Qh5 , True , d5h5 , -638 cp 
 mistralai/mistral-medium-3.1 , 6 , Qh5 , True , d5h5 , -636 cp 
 mistralai/mistral-medium-3.1 , 7 , Qh5 , True , d5h5 , -623 cp 
 mistralai/mistral-medium-3.1 , 8 , Qh8 , False , None , None 
 mistralai/mistral-medium-3.1 , 9 , Qh5 , True , d5h5 , -635 cp 
 mistralai/mistral-medium-3.1 , 10 , Qh5 , True , d5h5 , -627 cp 
 baidu/ernie-4.5-vl-28b-a3b , 1 , Qd3 , True , d5d3 , 58 cp 
 baidu/ernie-4.5-vl-28b-a3b , 2 , Qd4 , True , d5d4 , 427 cp 
 baidu/ernie-4.5-vl-28b-a3b , 3 , Qd4 , True , d5d4 , 436 cp 
 baidu/ernie-4.5-vl-28b-a3b , 4 , Qd4 , True , d5d4 , 435 cp 
 baidu/ernie-4.5-vl-28b-a3b , 5 , Qd3 , True , d5d3 , 41 cp 
 baidu/ernie-4.5-vl-28b-a3b , 6 , Qd4 , True , d5d4 , 427 cp 
 baidu/ernie-4.5-vl-28b-a3b , 7 , Qe3 , False , None , None 
 baidu/ernie-4.5-vl-28b-a3b , 8 , Qe3 , False , None , None 
 baidu/ernie-4.5-vl-28b-a3b , 9 , Qd4 , True , d5d4 , 452 cp 
 baidu/ernie-4.5-vl-28b-a3b , 10 , Qd5 , False , None , None 
